Patient ID,Name,Gender,Age,Date of Birth,PHN,Address,Encounter ID,Encounter Type,Admit Date,Discharge Date,ICD-10 codes,Problem list,Reason for visit,latitude,longitude
CERNER-1154,Jorge Armstrong III,Female,36,1992-10-03,9534-283-644,V6B 1B8,ENC-32463,ED,2024-04-01,2025-02-20,I10,Anxiety,Mental health crisis,49.2888247,-123.1089741
CERNER-2562,Richard Wright,Male,35,1982-03-12,7924-991-251,V6J 0E4,ENC-79226,ED,2023-07-16,2024-06-01,Z59.0,Hypertension,Fatigue,49.270459,-123.143587
CERNER-8790,Daniel Goodman,Male,54,1993-02-16,7362-266-093,V6B 1L8,ENC-45532,ED,2023-07-31,2023-11-23,F20.9,Homelessness,Fatigue,49.2837274,-123.1127247
CERNER-1539,Dominique Pugh,Male,64,1973-07-07,2966-278-282,V6X 4A6,ENC-33508,Inpatient,2024-01-09,2025-04-09,F20.9,Hypertension,Fatigue,49.1776901,-123.1311763
CERNER-3362,Rebecca Walker,Male,77,1959-07-13,3106-903-311,V7Y 1G5,ENC-62205,ED,2024-01-15,2024-04-01,F32.1,Hypertension,Fatigue,49.2830396,-123.1178195
CERNER-4939,Luis Glover,Female,58,1973-06-01,7175-355-609,V6B 3L9,ENC-84277,Inpatient,2024-05-27,2024-07-07,R51,Homelessness,Injury,49.279145,-123.1205269
CERNER-3292,Eileen Armstrong,Male,33,1944-04-02,7772-522-872,V5L 2H5,ENC-20279,Outpatient,2024-01-07,2024-03-25,F32.1,Depression,Shortness of breath,49.2768109,-123.0689093
CERNER-8161,Daniel Goodman,Male,54,1993-02-16,7362-266-093,V6B 2W9,ENC-40427,ED,2024-04-03,2024-11-11,F32.1,Headache,Fatigue,49.276352,-123.1209212
CERNER-7499,Shannon Bishop,Female,31,1955-10-29,4678-544-587,V5K 2A1,ENC-52778,ED,2024-05-04,2025-01-26,F32.1,Anxiety,Injury,49.2813938,-123.0450068
CERNER-4737,Richard Wright,Male,35,1982-03-12,7924-991-251,V6B 3H7,ENC-56636,Outpatient,2024-05-08,2025-03-23,I10,Anxiety,Chest pain,49.2837134,-123.1146284
CERNER-7227,Richard Wright,Male,35,1982-03-12,7924-991-251,V6Z 1M6,ENC-21232,Outpatient,2023-09-13,2024-07-06,F32.1,Hypertension,Shortness of breath,49.2770855,-123.1269107
CERNER-2344,Anna Ward,Female,20,2006-08-11,5965-756-924,V6P 6G2,ENC-45123,ED,2024-02-12,2025-02-23,I10,Hypertension,Injury,49.2047775,-123.1448411
CERNER-6188,Jessica Forbes DVM,Male,57,1971-06-22,2646-471-543,V6C 3B5,ENC-57277,ED,2024-01-11,2025-04-27,F20.9,Depression,Mental health crisis,49.2883486,-123.1143093
CERNER-8286,Richard Wright,Male,35,1982-03-12,7924-991-251,V6Z 2R5,ENC-57175,Inpatient,2023-12-03,2024-01-01,F20.9,Hypertension,Shortness of breath,49.2761937,-123.1303631
CERNER-4070,Lisa Martin,Female,78,2003-12-23,1238-282-586,V6Z 2P1,ENC-66489,Inpatient,2023-08-08,2024-03-08,R51,Headache,Fatigue,49.284359,-123.1214436
CERNER-7685,Lori Brooks,Male,55,2002-12-21,6668-700-217,V6B 3L9,ENC-23538,ED,2023-11-06,2024-02-25,F20.9,Homelessness,Fatigue,49.279145,-123.1205269
CERNER-2524,Sarah Flynn,Female,58,1978-02-05,4773-586-629,V6B 3L9,ENC-88240,Outpatient,2024-01-29,2025-05-15,F32.1,Anxiety,Shortness of breath,49.279145,-123.1205269
CERNER-5781,Shannon Bishop,Female,31,1955-10-29,4678-544-587,V6B 3H7,ENC-64238,Inpatient,2024-02-22,2024-12-30,F20.9,Headache,Chest pain,49.2837134,-123.1146284
