ClientID,Name,Gender,Age,Date of Birth,PHN,Address,Case Worker Name,Program Type,Start Date,End Date,Service Status,Visit Type,Duration,Visit Date,Visit Outcome,unitNumber,civicNumber,streetDirection,streetName,streetType,localityName,provinceCode,postalCode
PARIS-1741,Mario Barber,Male,68,1944-05-21,9356-465-193,"1795 Venables St, Vancouver, BC V5L 2H5, Canada",James Davidson,MHSU,2023-12-28,2025-01-27,Active,Phone,81,2024-07-31,Improved,,1795,,Venables,St,Vancouver,BC,V5L 2H5
PARIS-6939,Jill Jackson,Male,79,1966-01-29,8686-337-524,"1684 W 2nd Ave, Vancouver, BC V6J 1H4, Canada",Eric Dixon,Housing First,2023-08-20,2025-04-11,Active,Clinic,74,2024-08-01,No Change,,1684,W,2nd,Ave,Vancouver,BC,V6J 1H4
PARIS-5582,Sheila Boone,Female,38,1997-12-30,6856-218-501,"1014 Homer St #200, Vancouver, BC V6B 2W9, Canada",Jeanette Walters,ACT,2024-04-22,2025-02-09,Active,Home,60,2025-02-21,No Change,,1014,,Homer,St,Vancouver,BC,V6B 2W9
PARIS-6555,Lisa Ramos,Female,19,1966-07-02,7966-033-419,"1795 Venables St, Vancouver, BC V5L 2H5, Canada",Emily Kim,Housing First,2024-04-26,2024-09-02,Active,Home,87,2024-06-24,Escalated,,1795,,Venables,St,Vancouver,BC,V5L 2H5
PARIS-7576,Shannon Bishop,Female,31,1955-10-29,4678-544-587,"1535 W 3rd Ave, Vancouver, BC V6J 1J8, Canada",Tim Wilson,ACT,2024-01-26,2025-01-24,Active,Home,27,2024-06-23,Escalated,,1535,W,3rd,Ave,Vancouver,BC,V6J 1J8
PARIS-6456,Jill Jackson,Male,79,1966-01-29,8686-337-524,"518-510 W Hastings St, Vancouver, BC V6B 1L8, Canada",Patrick Yang,MHSU,2023-07-19,2024-06-06,On Hold,Clinic,29,2025-03-03,Escalated,518,510,W,Hastings,St,Vancouver,BC,V6B 1L8
PARIS-9446,Meredith Anderson,Male,36,1940-03-28,4840-862-118,"675 W Hastings St #400, Vancouver, BC V6B 1N2, Canada",Adam Crawford,ICM,2023-10-15,2024-12-22,Completed,Phone,50,2024-12-19,Improved,,675,W,Hastings,St,Vancouver,BC,V6B 1N2
PARIS-7438,Luis Glover,Female,58,1973-06-01,7175-355-609,"8038 Granville St, Vancouver, BC V6P 4Z4, Canada",Michelle Jackson,Housing First,2023-07-22,2025-03-20,On Hold,Clinic,74,2025-04-01,Escalated,,8038,,Granville,St,Vancouver,BC,V6P 4Z4
PARIS-9721,Jorge Armstrong III,Female,36,1992-10-03,9534-283-644,"6083 McKay Ave, Burnaby, BC V5H 2W7, Canada",Morgan Wilson,MHSU,2024-05-17,2024-06-13,On Hold,Phone,48,2024-10-10,No Change,,6083,,McKay,Ave,Burnaby,BC,V5H 2W7
PARIS-1272,Jill Jackson,Male,79,1966-01-29,8686-337-524,"1018 Granville St, Vancouver, BC V6Z 1L5, Canada",Denise Brown,Housing First,2024-03-05,2025-01-11,Completed,Phone,24,2025-01-31,No Change,,1018,,Granville,St,Vancouver,BC,V6Z 1L5
